student_id,exam_type,test_name,test_number,subject,attendance_percentage,combination,academic_year,english_theory,language_subject,language_theory,physics_theory,physics_practical,chemistry_theory,chemistry_practical,maths_theory,biology_theory,biology_practical,computer_science_theory,computer_science_practical,behavior_score
260001,Unit Test,Chapter 1 Test,1.0,English,100,PCMC,2025,100.0,,,,,,,,,,,,10
260001,Unit Test,Chapter 1 Test,1.0,Language,100,PCMC,2025,,Kannada,100.0,,,,,,,,,,10
260001,Unit Test,Chapter 1 Test,1.0,Physics,100,PCMC,2025,,,,70.0,30.0,,,,,,,,10
260001,Unit Test,Chapter 1 Test,1.0,Chemistry,100,PCMC,2025,,,,,,70.0,30.0,,,,,,10
260001,Unit Test,Chapter 1 Test,1.0,Maths,100,PCMC,2025,,,,,,,,100.0,,,,,10
260001,Unit Test,Chapter 1 Test,1.0,Computer Science,100,PCMC,2025,,,,,,,,,,,70.0,30.0,10
260001,Mid Term,Term,1.0,All,100,PCMC,2025,100.0,Hindi,100.0,70.0,30.0,70.0,30.0,100.0,,,70.0,30.0,10
260001,JUT,Term,1.0,All,100,PCMC,2025,100.0,Hindi,100.0,70.0,30.0,70.0,30.0,100.0,,,70.0,30.0,10
260001,JFT,Term,1.0,All,100,PCMC,2025,100.0,Sanskrit,100.0,70.0,30.0,70.0,30.0,100.0,,,70.0,30.0,10
260001,Final Exam,Annual,1.0,All,100,PCMC,2025,100.0,Kannada,100.0,70.0,30.0,70.0,30.0,100.0,,,70.0,30.0,10
260002,Unit Test,Chapter 1 Test,1.0,English,100,PCMB,2025,100.0,,,,,,,,,,,,10
260002,Unit Test,Chapter 1 Test,1.0,Language,100,PCMB,2025,,Hindi,100.0,,,,,,,,,,10
260002,Unit Test,Chapter 1 Test,1.0,Physics,100,PCMB,2025,,,,70.0,30.0,,,,,,,,10
260002,Unit Test,Chapter 1 Test,1.0,Chemistry,100,PCMB,2025,,,,,,70.0,30.0,,,,,,10
260002,Unit Test,Chapter 1 Test,1.0,Maths,100,PCMB,2025,,,,,,,,100.0,,,,,10
260002,Unit Test,Chapter 1 Test,1.0,Biology,100,PCMB,2025,,,,,,,,,70.0,30.0,,,10
260002,Mid Term,Term,1.0,All,100,PCMB,2025,100.0,Sanskrit,100.0,70.0,30.0,70.0,30.0,100.0,70.0,30.0,,,10
260002,JUT,Term,1.0,All,100,PCMB,2025,100.0,Sanskrit,100.0,70.0,30.0,70.0,30.0,100.0,70.0,30.0,,,10
260002,JFT,Term,1.0,All,100,PCMB,2025,100.0,Sanskrit,100.0,70.0,30.0,70.0,30.0,100.0,70.0,30.0,,,10
260002,Final Exam,Annual,1.0,All,100,PCMB,2025,100.0,Kannada,100.0,70.0,30.0,70.0,30.0,100.0,70.0,30.0,,,10
260003,Unit Test,Chapter 1 Test,1.0,English,100,PCMB,2025,100.0,,,,,,,,,,,,10
260003,Unit Test,Chapter 1 Test,1.0,Language,100,PCMB,2025,,Kannada,100.0,,,,,,,,,,10
260003,Unit Test,Chapter 1 Test,1.0,Physics,100,PCMB,2025,,,,70.0,30.0,,,,,,,,10
260003,Unit Test,Chapter 1 Test,1.0,Chemistry,100,PCMB,2025,,,,,,70.0,30.0,,,,,,10
260003,Unit Test,Chapter 1 Test,1.0,Maths,100,PCMB,2025,,,,,,,,100.0,,,,,10
260003,Unit Test,Chapter 1 Test,1.0,Biology,100,PCMB,2025,,,,,,,,,70.0,30.0,,,10
260003,Mid Term,Term,1.0,All,100,PCMB,2025,100.0,Hindi,100.0,70.0,30.0,70.0,30.0,100.0,70.0,30.0,,,10
260003,JUT,Term,1.0,All,100,PCMB,2025,100.0,Sanskrit,100.0,70.0,30.0,70.0,30.0,100.0,70.0,30.0,,,10
260003,JFT,Term,1.0,All,100,PCMB,2025,100.0,Hindi,100.0,70.0,30.0,70.0,30.0,100.0,70.0,30.0,,,10
260003,Final Exam,Annual,1.0,All,100,PCMB,2025,100.0,Sanskrit,100.0,70.0,30.0,70.0,30.0,100.0,70.0,30.0,,,10
260004,Unit Test,Chapter 1 Test,1.0,English,91,PCMC,2025,82.0,,,,,,,,,,,,8
260004,Unit Test,Chapter 1 Test,1.0,Language,78,PCMC,2025,,Sanskrit,72.0,,,,,,,,,,9
260004,Unit Test,Chapter 1 Test,1.0,Physics,79,PCMC,2025,,,,43.0,15.0,,,,,,,,8
260004,Unit Test,Chapter 1 Test,1.0,Chemistry,84,PCMC,2025,,,,,,50.0,17.0,,,,,,8
260004,Unit Test,Chapter 1 Test,1.0,Maths,81,PCMC,2025,,,,,,,,51.0,,,,,9
260004,Unit Test,Chapter 1 Test,1.0,Computer Science,83,PCMC,2025,,,,,,,,,,,54.0,27.0,9
260004,Mid Term,Term,1.0,All,74,PCMC,2025,46.0,Hindi,73.0,35.0,23.0,39.0,15.0,40.0,,,40.0,22.0,9
260004,JUT,Term,1.0,All,72,PCMC,2025,98.0,Kannada,96.0,51.0,30.0,70.0,21.0,69.0,,,65.0,24.0,8
260004,JFT,Term,1.0,All,78,PCMC,2025,57.0,Kannada,72.0,42.0,25.0,45.0,18.0,37.0,,,26.0,25.0,9
260004,Final Exam,Annual,1.0,All,99,PCMC,2025,85.0,Sanskrit,50.0,48.0,26.0,70.0,16.0,93.0,,,69.0,24.0,8
260005,Unit Test,Chapter 1 Test,1.0,English,85,PCMC,2025,86.0,,,,,,,,,,,,9
260005,Unit Test,Chapter 1 Test,1.0,Language,79,PCMC,2025,,Hindi,80.0,,,,,,,,,,6
260005,Unit Test,Chapter 1 Test,1.0,Physics,83,PCMC,2025,,,,46.0,30.0,,,,,,,,6
260005,Unit Test,Chapter 1 Test,1.0,Chemistry,96,PCMC,2025,,,,,,47.0,24.0,,,,,,8
260005,Unit Test,Chapter 1 Test,1.0,Maths,87,PCMC,2025,,,,,,,,84.0,,,,,9
260005,Unit Test,Chapter 1 Test,1.0,Computer Science,75,PCMC,2025,,,,,,,,,,,66.0,17.0,10
260005,Mid Term,Term,1.0,All,78,PCMC,2025,95.0,Hindi,87.0,66.0,23.0,35.0,16.0,43.0,,,58.0,17.0,7
260005,JUT,Term,1.0,All,84,PCMC,2025,71.0,Sanskrit,89.0,51.0,18.0,61.0,19.0,75.0,,,56.0,18.0,9
260005,JFT,Term,1.0,All,100,PCMC,2025,84.0,Sanskrit,68.0,38.0,25.0,63.0,30.0,88.0,,,55.0,19.0,9
260005,Final Exam,Annual,1.0,All,80,PCMC,2025,88.0,Kannada,78.0,57.0,26.0,30.0,18.0,54.0,,,40.0,30.0,6
260006,Unit Test,Chapter 1 Test,1.0,English,76,PCMB,2025,69.0,,,,,,,,,,,,7
